INdex,INdex.1,INdex.1.1,Magnitude,Station Name,Epicenter distance,Hypocenter distance,Focal depth,Station_Lon,Station_Lat,Epicenter_Lon,Epicenter_Lat,PGA,Tau_p,Tau_c,Origin Time,Rec Start Time,Vs30,Vs_20,Vs_10,Vs_5,PI_v,T_va,RSSC Vel,CAV,CAD,ID_2,IV_2,Arias intensity UD,Arias intensity NS,Arias intensity EW,PGV UD 3 sec,PGD UD 3 sec,PGA UD 3 sec,Max Acc Index UD,Max Acc Index NS,Max Acc Index EW,Max Vel Index UD,Max Disp Index UD,Total PGV UD,Total PGD UD,Total PGV NS,Total PGD NS,Total PGV EW,Total PGD EW,V VS ACC
0,0,0,3.6,HRS002,55.06508144,56.35745908,12,133.2755,34.8951,133.297,35.39,6.411,1.5,3.230168205,07:40:00,07:40:56,833,555,278,175,-8.338710396,1.006709349,0.089777621,1.406416838,0.665501614,2.12E-05,8.03E-05,0.512579827,1.717400446,4.310719752,0.008146163,0.005520617,0.050842729,28,2,2,289,299,0.001015537,6.87E-05,0.005047277,0.000147831,0.003938851,0.000222354,0.160222769
1,1,1,3.6,HRS021,51.28022818,52.66556562,12,133.1171,34.9529,133.297,35.39,2.351,0.01010101,1.799248523,07:40:00,07:40:49,690,460,230,141,-10.93306866,0.113596546,0.004831385,0.070523486,0.020809956,1.91E-08,2.33E-07,0.003024153,0.059842428,0.003679344,0.000691947,0.000148572,0.038272544,15,156,262,179,299,0.000644561,4.32E-05,0.00086767,6.81E-05,0.000654176,4.69E-05,0.018079452
2,2,2,3.6,OKY005,57.85633392,59.08769224,12,133.7317,35.0098,133.297,35.39,3.544,1.5,3.139861759,07:40:00,07:40:57,464,309,155,92,-9.468282901,1.382456205,0.052330928,0.80798677,0.373731239,6.81E-06,2.73E-05,0.172399826,0.005524872,0.025560274,0.00518795,0.003284381,0.023578939,37,71,119,294,299,0.000593202,4.44E-05,0.000476826,2.14E-05,0.00072167,4.72E-05,0.220024739
7,7,7,3.6,TTR009,25.26647568,27.97132091,12,133.3063,35.1629,133.297,35.39,4.068,1.5,1.886227627,07:40:00,07:40:48,559,373,307,257,-4.927568866,0.071137005,0.068164534,0.917127916,0.312723693,4.19E-06,4.65E-05,0.151898261,0.273117335,0.190200371,0.012603606,0.001897413,1.113215131,89,84,140,16,269,0.000323215,2.31E-05,0.000492354,3.63E-05,0.000537844,3.40E-05,0.011321806
17,17,17,3.6,HRS002,55.06508144,56.35745908,12,133.2755,34.8951,133.297,35.39,6.411,1.5,3.230168205,07:40:00,07:40:56,833,555,278,175,-8.338710396,1.006709349,0.089777621,1.406416838,0.665501614,2.12E-05,8.03E-05,0.512579827,1.717400446,4.310719752,0.008146163,0.005520617,0.050842729,28,2,2,289,299,0.001015537,6.87E-05,0.005047277,0.000147831,0.003938851,0.000222354,0.160222769
18,18,18,3.6,HRS021,51.28022818,52.66556562,12,133.1171,34.9529,133.297,35.39,2.351,0.01010101,1.799248523,07:40:00,07:40:49,690,460,230,141,-10.93306866,0.113596546,0.004831385,0.070523486,0.020809956,1.91E-08,2.33E-07,0.003024153,0.059842428,0.003679344,0.000691947,0.000148572,0.038272544,15,156,262,179,299,0.000644561,4.32E-05,0.00086767,6.81E-05,0.000654176,4.69E-05,0.018079452
19,19,19,3.6,OKY005,57.85633392,59.08769224,12,133.7317,35.0098,133.297,35.39,3.544,1.5,3.139861759,07:40:00,07:40:57,464,309,155,92,-9.468282901,1.382456205,0.052330928,0.80798677,0.373731239,6.81E-06,2.73E-05,0.172399826,0.005524872,0.025560274,0.00518795,0.003284381,0.023578939,37,71,119,294,299,0.000593202,4.44E-05,0.000476826,2.14E-05,0.00072167,4.72E-05,0.220024739
24,24,24,3.6,TTR009,25.26647568,27.97132091,12,133.3063,35.1629,133.297,35.39,4.068,1.5,1.886227627,07:40:00,07:40:48,559,373,307,257,-4.927568866,0.071137005,0.068164534,0.917127916,0.312723693,4.19E-06,4.65E-05,0.151898261,0.273117335,0.190200371,0.012603606,0.001897413,1.113215131,89,84,140,16,269,0.000323215,2.31E-05,0.000492354,3.63E-05,0.000537844,3.40E-05,0.011321806
35,35,35,3.6,HRS002,43.14583771,45.67891539,15,133.2755,34.8951,133.325,35.281,10.321,1.5,3.214123748,17:29:00,17:29:23,833,555,278,175,-8.351204852,0.587014895,0.049716628,0.77108717,0.367512368,6.44E-06,2.46E-05,0.156962505,8.204583087,3.476434636,0.004863802,0.003055815,0.052060294,283,3,2,284,299,0.000692065,4.48E-05,0.003762963,0.000279773,0.002615452,0.000178719,0.093426322
36,36,36,3.6,HRS005,56.1872152,58.15499249,15,133.2807,34.777,133.325,35.281,11.656,1.5,2.788900991,17:29:00,17:29:27,730,487,266,172,-5.470916481,0.228005366,0.048692215,0.596445145,0.338219225,4.67E-06,2.37E-05,0.567689708,0.054430097,0.047413297,0.013080729,0.001789544,0.360468013,8,287,65,7,58,0.000469191,3.74E-05,0.000457554,2.64E-05,0.000466606,2.91E-05,0.036288181
